"","(4,4.25]","(3.75,4]","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]"
"Eurygnathohippus_hasumense",0,0,1,1,1,1,1,0,0,1,0,0,1
"Eurygnathohippus_libycus",0,0,0,0,0,0,0,1,1,1,1,1,1
"Eurygnathohippus_sitifense",0,0,0,0,1,0,0,1,0,0,0,0,0
"Ceratotherium_mauritanicum",0,0,0,1,1,1,0,1,1,1,0,1,0
"Ceratotherium_simum",0,0,0,0,0,0,0,0,0,0,1,1,1
"Diceros_bicornis",0,0,0,0,0,0,0,0,0,1,1,0,1
"Diceros_praecox",1,0,0,0,1,0,0,0,0,0,1,0,0
"Deinotherium_bozasi",1,1,1,1,1,1,1,1,1,1,1,1,0
"Elephas_ekorensis",1,0,0,0,1,0,0,0,0,0,0,0,0
"Elephas_recki",0,0,0,1,1,1,1,1,1,1,1,1,1
"Loxodonta_adaurora",1,1,1,1,1,1,0,0,0,1,0,0,0
"Loxodonta_atlantica",0,0,0,0,0,0,0,1,0,0,0,0,0
"Loxodonta_exoptata",1,0,1,0,1,0,0,0,0,0,0,0,0
"Anancus_osiris",0,1,0,0,0,0,0,0,0,0,0,0,0
"Anancus_ultimus",1,0,0,0,0,0,0,0,0,0,0,0,0
"Stegodon_kaisensis",0,0,0,0,1,0,0,0,0,0,0,0,0
