"","(3.5,3.75]","(3.25,3.5]","(3,3.25]","(2.75,3]","(2.5,2.75]","(2.25,2.5]","(2,2.25]","(1.75,2]","(1.5,1.75]","(1.25,1.5]","(1,1.25]","(0.75,1]","(0.5,0.75]","(0.25,0.5]","(0,0.25]"
"Eurygnathohippus_albertense",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eurygnathohippus_cornelianus",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"Eurygnathohippus_ethiopicum",0,0,1,0,0,1,1,1,1,1,0,1,1,0,0
"Eurygnathohippus_hasumense",1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
"Eurygnathohippus_libycus",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"Eurygnathohippus_sitifense",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Gazella_aff_granti",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gazella_aff_rufifrons",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Gazella_granti",1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
"Gazella_harmonae",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Gazella_janenschi",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0
"Gazella_kohllarseni",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gazella_praethomsoni",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"Gazella_thomsoni",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Giraffa_camelopardalis",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Giraffa_gracilis",1,0,1,1,1,1,1,0,1,1,1,0,1,0,0
"Giraffa_gracilis_Giraffa_camelopardalis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Giraffa_jumae",1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
"Giraffa_pygmaea",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"Giraffa_stillei",1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
"Hexaprotodon_bruneti",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hippopotamus_amphibius",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
"Hippopotamus_gorgops",1,1,0,0,0,1,0,1,1,1,1,1,1,0,0
"Hippopotamus_kaisensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippotragus_aff_cookei",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hippotragus_equinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hippotragus_gigas",0,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"Hylochoerus_meinertzhageni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kobus_ancystrocera",0,0,1,1,0,1,1,1,1,0,1,0,0,0,0
"Kobus_ellipsiprymnus",0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
"Kobus_kob",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Kobus_leche",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Kobus_oricornis",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Kobus_oricornus",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"Kobus_presigmoidalis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kobus_sigmoidalis",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
"Kobus_sigmoidalis_Kobus_ellipsiprymnus",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"Kobus_sp_B_Hadar",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kobus_sp_D_Hadar",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kolpochoerus_afarensis",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Kolpochoerus_limnetes",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"Kolpochoerus_majus",0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
"Kolpochoerus_millensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kolpochoerus_olduvaiensis",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"Kolpochoerus_paiceae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Kolpochoerus_phillipi",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"Loxodonta_adaurora",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"Loxodonta_africana",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Loxodonta_atlantica",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
