Country,Region,Unit,Lat,Long,Sequence,Min.Age,Max.Age,Mean.Age,Duration,Age Ref.,Faunal Ref(s).
Ethiopia,Awash,SH2,11.1,40.58,Hadar Formation,3.35,3.4,3.375,0.05,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,SH3,11.1,40.58,Hadar Formation,3.33,3.35,3.34,0.02,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Ethiopia,Awash,SH4.DD1,11.1,40.58,Hadar Formation,3.22,3.33,3.275,0.11,Campisano and Feibel (2007),"Reed (2008); Geraads et al. (2012, 2013); Rowan et al. (in prep); Werdelin and Lewis (2014)"
Kenya,Turkana,South.Turkwel,2.9,36.05,Nachukui Formation,3.2,3.58,3.39,0.38,Ward et al. (1999),NOW; Werdelin and Lewis (2014)
Tanzania,,Tinde,-3.8,33.58,Wembere-Manonga Formation,4.5,5,4.75,0.5,Werdelin (2010),Harrison and Baker (1997); Sanders et al. (2010)
Kenya,Turkana,Tulu.Bor,4,36.37,Koobi Fora Formation ,2.64,3.44,3.04,0.8,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016); Weston and Boisserie (2010)
Tanzania,Serengeti,Upper.Bed.II,-2.98,35.3,Olduvai Gorge,1.2,1.74,1.47,0.54,Kovarovic et al. (2013),Kovarovic et al. (2013)
Kenya,Turkana,Upper.Burgi,4,36.37,Koobi Fora Formation ,1.87,2,1.935,0.13,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016); Weston and Boisserie (2010)
Tanzania,Serengeti,Upper.Laetolil,-3.2,35.2,Laetolil Beds,3.6,3.85,3.725,0.25,Deino (2011),Harrison (2011)
Kenya,Turkana,Upper.Lomekwi,3.93,35.77,Nachukui Formation,2.53,2.82,2.675,0.29,McDougall et al. (2012),Werdelin and Lewis (2013); Fortelius et al. (2016)
Kenya,Turkana,Upper.Nawata,2.9,36.05,Nawata Formation,5,6.5,5.75,1.5,Werdelin (2010),"Leakey and Harris (2003); Boisserie et al. (2014); Werdelin and Peigne (2010); Geraads (2010, 2017)"
Tanzania,Serengeti,Upper.Ndolanya,-3.2,35.2,Ndolanya Beds,2.66,2.66,2.66,0,Deino (2011),Harrison (2011)
Ethiopia,Awash,Uraitele,11.6,40.8,Mille-Logya,2.443,2.485,2.464,0.021,Alemseged et al. (2020),Alemseged et al. (2020)
Ethiopia,Turkana,Usno,4.5,36,Usno Formation,3,3.3,3.15,0.3,Werdelin (2010),NOW; Werdelin and Lewis (2014)
